Ticker,Binance_Symbol,Primary_Sector,All_Sectors
FET,FETUSDT,Other,
FIL,FILUSDT,Other,
FTM,FTMUSDT,Other,
GALA,GALAUSDT,Other,
GAS,GASUSDT,Other,
GMT,GMTUSDT,Other,
GOAT,GOATUSDT,Other,
GRT,GRTUSDT,Avalanche Ecosystem,"Avalanche Ecosystem, Arbitrum Ecosystem, Infrastructure, Harmony Ecosystem, Made in USA, Coinbase 50 Index, Proof of Stake (PoS), DePIN, Analytics, Polygon Ecosystem, Near Protocol Ecosystem, Sora Ecosystem, Ethereum Ecosystem, Artificial Intelligence (AI), Energi Ecosystem"
GTC,GTCUSDT,BNB Chain Ecosystem,"BNB Chain Ecosystem, Mobile Mining"
HBAR,HBARUSDT,Smart Contract Platform,"Smart Contract Platform, Layer 1 (L1), Hedera Ecosystem, GMCI Layer 1 Index, GMCI 30 Index, GMCI Index, Made in USA, Directed Acyclic Graph (DAG)"
HYPE,HYPEUSDT,Solana Ecosystem,"Solana Ecosystem, Wormhole Assets, Bridged-Tokens, Unichain Ecosystem"
ID,IDUSDT,Other,
INJ,INJUSDT,Other,
IOTX,IOTXUSDT,Other,
IP,IPUSDT,Other,
JTO,JTOUSDT,Other,
JUP,JUPUSDT,Other,
KAITO,KAITOUSDT,Other,
KAVA,KAVAUSDT,Other,
KNC,KNCUSDT,Other,
LDO,LDOUSDT,Other,
LINK,LINKUSDT,Other,
LIT,LITUSDT,Other,
LRC,LRCUSDT,Other,
LTC,LTCUSDT,Other,
MANA,MANAUSDT,Other,
MASK,MASKUSDT,Other,
MEME,MEMEUSDT,Other,
MKR,MKRUSDT,Other,
MOODENG,MOODENGUSDT,Other,
MOVE,MOVEUSDT,Other,
MTL,MTLUSDT,Other,
MYX,MYXUSDT,Other,
NEAR,NEARUSDT,Ethereum Ecosystem,"Ethereum Ecosystem, Bridged-Tokens"
NEIRO,NEIROUSDT,Meme,"Meme, Tron Ecosystem, Sun Pump Ecosystem, TRON Meme"
NOT,NOTUSDT,Meme,"Meme, Stacks Ecosystem"
OCEAN,OCEANUSDT,Artificial Intelligence (AI),"Artificial Intelligence (AI), Storage, Polygon Ecosystem, Ethereum Ecosystem, Optimism Ecosystem, DePIN, Energi Ecosystem, Sora Ecosystem, CoinList Launchpad"
OGN,OGNUSDT,Decentralized Finance (DeFi),"Decentralized Finance (DeFi), Ethereum Ecosystem, Base Ecosystem, Curve Ecosystem, Sonic Ecosystem, Liquid Staking, Made in USA, CoinList Launchpad, Base Native"
OM,OMUSDT,Other,
ONDO,ONDOUSDT,Other,
ONE,ONEUSDT,Other,
OP,OPUSDT,Other,
ORDI,ORDIUSDT,Other,
PAXG,PAXGUSDT,Other,
PENGU,PENGUUSDT,Other,
PEOPLE,PEOPLEUSDT,Other,
PIPPIN,PIPPINUSDT,Other,
PNUT,PNUTUSDT,Other,
POPCAT,POPCATUSDT,Other,
PUMP,PUMPUSDT,Other,
RAVE,RAVEUSDT,Other,
RIVER,RIVERUSDT,Other,
RLC,RLCUSDT,Other,
ROSE,ROSEUSDT,Other,
RSR,RSRUSDT,Other,
RUNE,RUNEUSDT,Other,
SAND,SANDUSDT,Other,
SEI,SEIUSDT,Other,
SNX,SNXUSDT,Other,
SOL,SOLUSDT,Other,
STORJ,STORJUSDT,Other,
STX,STXUSDT,Other,
SUI,SUIUSDT,Other,
SUSHI,SUSHIUSDT,Base Native,"Base Native, Automated Market Maker (AMM), Avalanche Ecosystem, Arbitrum Ecosystem, Harmony Ecosystem, Decentralized Exchange (DEX), Exchange-based Tokens, Katana Ecosystem, Yearn Ecosystem, Yield Farming, Decentralized Finance (DeFi), Polygon Ecosystem, BNB Chain Ecosystem, Near Protocol Ecosystem, Base Ecosystem, Sora Ecosystem, Ethereum Ecosystem, Solana Ecosystem, Celo Ecosystem, Fantom Ecosystem, Energi Ecosystem, Governance"
SXP,SXPUSDT,BNB Chain Ecosystem,"BNB Chain Ecosystem, Harmony Ecosystem, Ethereum Ecosystem"
TAO,TAOUSDT,Solana Ecosystem,"Solana Ecosystem, Meme, AI Meme, Pump.fun Ecosystem"
THETA,THETAUSDT,Artificial Intelligence (AI),"Artificial Intelligence (AI), Smart Contract Platform, Layer 1 (L1), DePIN, Theta Ecosystem, Made in USA"
TIA,TIAUSDT,Decentralized Finance (DeFi),"Decentralized Finance (DeFi), Tokenized Assets, Ethereum Ecosystem, Real World Assets (RWA), RWA Protocol"
TON,TONUSDT,Ethereum Ecosystem,Ethereum Ecosystem
TRB,TRBUSDT,Other,
TRUMP,TRUMPUSDT,Other,
TRX,TRXUSDT,Other,
TURBO,TURBOUSDT,Other,
UNFI,UNFIUSDT,Other,
UNI,UNIUSDT,Other,
VET,VETUSDT,Other,
VIRTUAL,VIRTUALUSDT,Other,
WAVES,WAVESUSDT,Other,
WIF,WIFUSDT,Other,
WLD,WLDUSDT,Other,
WLFI,WLFIUSDT,Other,
XAU,XAUUSDT,Other,
XLM,XLMUSDT,Other,
XMR,XMRUSDT,Other,
XPL,XPLUSDT,Other,
XRP,XRPUSDT,Other,
XTZ,XTZUSDT,Other,
YFI,YFIUSDT,Other,
ZEC,ZECUSDT,Other,
ZIL,ZILUSDT,Other,
